ensembl_id,PC3_Normoxia_S1,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Normoxia_S1
ENSG00000018869,0,213,238,250,0,0,0,205
ENSG00000019102,1,1,0,4,2,0,0,3
ENSG00000019144,247,1449,1520,1157,374,144,622,840
ENSG00000019169,23,1,3,2,30,8,38,2
ENSG00000019186,84,0,0,0,158,54,178,1
ENSG00000019485,99,55,55,92,218,67,252,72
ENSG00000019505,13,14,18,16,28,8,34,23
ENSG00000019549,214,791,1003,503,739,232,607,456
ENSG00000019582,2,3,1,10,6,1,4,3
ENSG00000019991,1,0,0,0,0,0,3,0
ENSG00000019995,372,3021,3101,2714,1665,493,1060,2165
ENSG00000020129,153,915,1260,1700,316,123,346,1329
ENSG00000020181,56,13,12,30,52,33,155,31
ENSG00000020219,0,0,1,0,0,0,0,0
ENSG00000020256,334,1430,1520,1715,710,281,938,1352
ENSG00000020426,817,1130,1159,1251,2181,697,2104,1184
ENSG00000020577,871,147,131,98,5673,1814,2112,65
ENSG00000020633,1,0,0,5,1,0,0,2
ENSG00000020922,216,1358,1635,1965,336,131,499,2072
ENSG00000021300,149,10881,11765,12645,314,115,360,9114
ENSG00000021355,170,0,0,0,739,244,523,3
ENSG00000021461,1,22,29,48,0,0,0,47
ENSG00000021488,0,19,16,12,1,2,2,12
ENSG00000021574,385,915,1147,1094,993,340,933,1023
ENSG00000021645,77,79,56,97,225,63,210,86
ENSG00000021762,44,1377,1567,3535,59,22,108,2572
ENSG00000021776,846,2870,3459,3717,2432,784,2373,3534
ENSG00000021826,229,2005,2222,2655,487,160,609,2596
ENSG00000021852,0,0,0,0,0,0,1,0
ENSG00000022267,398,5,6,2,1482,456,1069,1
ENSG00000022277,455,1856,2184,2489,1136,380,1180,2079
ENSG00000022355,2,0,0,0,1,1,3,1
ENSG00000022556,0,1193,1483,2231,0,0,0,1673
ENSG00000022567,45,355,385,564,34,12,91,420
ENSG00000022840,480,3840,4555,4802,1474,526,1208,3594
ENSG00000022976,45,639,800,1139,59,32,152,935
ENSG00000023041,444,1991,2057,2057,1284,427,1302,1785
ENSG00000023171,1151,15,8,6,3657,1044,3087,11
ENSG00000023191,408,941,995,1927,911,341,992,1119
ENSG00000023228,895,6305,7437,8961,2434,778,2560,7945
ENSG00000023287,383,4648,4804,4216,1497,439,1108,4101
ENSG00000023318,526,3654,4561,6652,1948,738,1506,6225
ENSG00000023330,136,4740,5673,4062,383,120,424,3398
ENSG00000023445,171,602,750,1326,664,177,492,1308
ENSG00000023516,268,4928,5677,4699,657,231,738,4355
ENSG00000023572,58,1256,1589,1323,138,37,139,1272
ENSG00000023608,757,1024,1162,711,2416,696,1949,768
ENSG00000023697,259,694,775,1131,658,263,642,899
ENSG00000023734,734,13916,15728,19993,1809,535,1972,16998
ENSG00000023839,6,18,20,12,23,4,25,15
ENSG00000023892,201,462,537,991,270,117,567,619
ENSG00000023902,183,157,135,123,440,141,455,54
ENSG00000023909,587,1611,1962,2147,2010,576,1492,2202
ENSG00000024048,773,1754,2268,1858,1985,601,2122,1824
ENSG00000024422,3,3,1,0,14,5,14,0
ENSG00000024526,1408,828,969,1082,3749,1232,3718,1245
ENSG00000024862,104,308,321,519,305,120,294,417
ENSG00000025039,300,1278,1439,964,1077,344,792,757
ENSG00000025156,146,1357,1435,1061,442,125,409,1006
ENSG00000025293,468,3008,3503,3321,1221,405,1252,3047
ENSG00000025423,10,114,119,127,14,4,23,89
ENSG00000025434,81,388,417,919,75,33,151,595
ENSG00000025708,34,192,185,516,58,26,88,266
ENSG00000025770,146,381,417,626,227,90,300,476
ENSG00000025772,2103,2727,3204,4013,5189,1992,6208,2762
ENSG00000025796,756,13721,15493,15359,2652,783,2259,14170
ENSG00000025800,795,3754,4182,5418,1671,527,2249,3994
ENSG00000026025,3264,3430,3823,3805,22543,8237,8298,2876
ENSG00000026036,24,32,46,9,15,0,43,11
ENSG00000026103,175,392,419,788,312,103,398,672
ENSG00000026297,38,496,530,772,85,43,83,599
ENSG00000026508,6243,19,9,14,20830,6690,18576,12
ENSG00000026559,234,254,238,593,405,168,585,347
ENSG00000026652,117,13,9,8,362,131,292,3
ENSG00000026751,5,0,0,5,31,7,12,1
ENSG00000026950,383,630,629,1062,354,110,962,1054
ENSG00000027001,347,1272,1536,1721,845,285,931,1250
ENSG00000027075,160,723,776,617,338,94,476,559
ENSG00000027644,4,1,0,0,0,0,2,0
ENSG00000027697,227,1035,1282,1203,922,299,697,1102
ENSG00000027847,108,603,737,884,230,92,311,562
ENSG00000027869,113,4,9,8,324,127,303,8
ENSG00000028116,192,828,944,1252,433,154,522,1153
ENSG00000028137,5,3,8,24,3,1,5,10
ENSG00000028203,467,4799,5011,6755,1382,493,1258,5642
ENSG00000028277,58,27,43,12,176,74,210,16
ENSG00000028310,174,1060,1209,1434,316,101,464,1097
ENSG00000028528,479,3538,3984,5029,1158,419,1216,4125
ENSG00000028839,189,1536,1587,1143,435,167,524,942
ENSG00000029153,1745,724,753,439,5735,1908,4818,339
ENSG00000029363,1124,11719,13716,10503,3559,1101,3129,10237
ENSG00000029364,2173,3273,3950,4138,6381,2237,5869,3348
ENSG00000029534,22,570,500,454,20,8,52,399
ENSG00000029559,0,59,113,7,0,0,0,4
ENSG00000029639,105,361,363,410,248,83,290,381
ENSG00000029725,350,5971,6794,6976,878,244,1032,6392
ENSG00000029993,428,2669,2872,3184,1101,399,1141,2468
